source,codec,mode,parameter,ssimulacra2,difference_from_target,bytes,file
anto-meneghini-IrohWzafmmA-unsplash.png,JPEG XL,progressive-center-first,d=0.876271;e=7;progressive;group_order=1,84.995018,0.004982,350448,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-progressive.jxl
anto-meneghini-IrohWzafmmA-unsplash.png,JPEG,sequential,quality=100,84.611451,0.388549,922947,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-jpeg-sequential.jpg
anto-meneghini-IrohWzafmmA-unsplash.png,JPEG,progressive,quality=100,84.611451,0.388549,886230,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-jpeg-progressive.jpg
anto-meneghini-IrohWzafmmA-unsplash.png,JPEGli,sequential,d=0.834248;p=0,84.998950,0.001050,430156,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-jpegli-sequential.jpg
anto-meneghini-IrohWzafmmA-unsplash.png,JPEGli,progressive-level-2,d=0.834248;p=2,84.998950,0.001050,414782,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-jpegli-progressive.jpg
anto-meneghini-IrohWzafmmA-unsplash.png,WebP,standard,q=100;method=6,83.616606,1.383394,579098,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash.webp
anto-meneghini-IrohWzafmmA-unsplash.png,AVIF,standard,q=79;speed=6,84.830400,0.169600,275470,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash.avif
anto-meneghini-IrohWzafmmA-unsplash.png,AVIF,progressive,q=79;speed=6,84.813027,0.186973,280147,ssimu2-85/anto-meneghini-IrohWzafmmA-unsplash/anto-meneghini-IrohWzafmmA-unsplash-progressive.avif
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,JPEG XL,progressive-center-first,d=0.662643;e=7;progressive;group_order=1,85.002107,0.002107,287656,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash-progressive.jxl
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,JPEG,sequential,quality=94,85.331760,0.331760,367417,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash-jpeg-sequential.jpg
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,JPEG,progressive,quality=94,85.331760,0.331760,339756,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash-jpeg-progressive.jpg
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,JPEGli,sequential,d=0.663643;p=0,85.032353,0.032353,351405,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash-jpegli-sequential.jpg
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,JPEGli,progressive-level-2,d=0.663643;p=2,85.032353,0.032353,335308,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash-jpegli-progressive.jpg
calvin-xy-wang-FUNWLd_5_oI-unsplash.png,WebP,standard,q=92.5;method=6,84.890842,0.109158,298554,ssimu2-85/calvin-xy-wang-FUNWLd_5_oI-unsplash/calvin-xy-wang-FUNWLd_5_oI-unsplash.webp
